date,district,cases
2014-07-05,Koinadugu,0.0
2014-07-05,Pujehun,0.0
2014-07-05,Kambia,0.0
2014-07-05,Port Loko,0.0
2014-07-05,Bo,0.0
2014-07-05,W/Urban,0.0
2014-07-05,Kailahun,6.0
2014-07-05,Kenema,6.0
2014-07-06,Port Loko,0.0
2014-07-06,Bombali,0.0
2014-07-06,W/Urban,0.0
2014-07-06,Bonthe,0.0
2014-07-06,W/Rural,0.0
2014-07-06,Kenema,0.0
2014-07-06,Mayamba,0.0
2014-07-06,Pujehun,0.0
2014-07-06,Kailahun,5.0
2014-07-06,Kono,0.0
2014-07-06,Kambia,1.0
2014-07-06,Koinadugu,0.0
2014-07-06,Tonkolili,0.0
2014-07-06,Bo,0.0
2014-07-07,Kono,0.0
2014-07-07,Tonkolili,0.0
2014-07-07,W/Rural,0.0
2014-07-07,Koinadugu,0.0
2014-07-07,Port Loko,0.0
2014-07-07,Mayamba,0.0
2014-07-07,W/Urban,0.0
2014-07-07,Bonthe,0.0
2014-07-07,Pujehun,0.0
2014-07-07,Bombali,0.0
2014-07-07,Kailahun,0.0
2014-07-07,Kambia,1.0
2014-07-07,Kenema,3.0
2014-07-07,Bo,0.0
2014-07-08,Bombali,0.0
2014-07-08,W/Urban,0.0
2014-07-08,Kenema,3.0
2014-07-08,Port Loko,0.0
2014-07-08,Kono,0.0
2014-07-08,Koinadugu,0.0
2014-07-08,W/Rural,0.0
2014-07-08,Bonthe,0.0
2014-07-08,Mayamba,0.0
2014-07-08,Pujehun,0.0
2014-07-08,Kailahun,14.0
2014-07-08,Kambia,0.0
2014-07-08,Bo,0.0
2014-07-08,Tonkolili,0.0
2014-07-09,Tonkolili,0.0
2014-07-09,Bonthe,0.0
2014-07-09,Kailahun,4.0
2014-07-09,Port Loko,0.0
2014-07-09,Kambia,1.0
2014-07-09,Koinadugu,0.0
2014-07-09,Kono,0.0
2014-07-09,Pujehun,0.0
2014-07-09,W/Urban,0.0
2014-07-09,W/Rural,0.0
2014-07-09,Kenema,2.0
2014-07-09,Bombali,0.0
2014-07-09,Mayamba,0.0
2014-07-09,Bo,0.0
2014-07-10,Kailahun,5.0
2014-07-10,Tonkolili,0.0
2014-07-10,Pujehun,0.0
2014-07-10,W/Urban,1.0
2014-07-10,W/Rural,0.0
2014-07-10,Bonthe,0.0
2014-07-10,Mayamba,0.0
2014-07-10,Port Loko,0.0
2014-07-10,Kambia,0.0
2014-07-10,Bombali,0.0
2014-07-10,Koinadugu,0.0
2014-07-10,Kono,0.0
2014-07-10,Kenema,1.0
2014-07-10,Bo,0.0
2014-07-11,Kambia,0.0
2014-07-11,Koinadugu,0.0
2014-07-11,W/Rural,0.0
2014-07-11,Mayamba,0.0
2014-07-11,Pujehun,0.0
2014-07-11,Bo,0.0
2014-07-11,Tonkolili,0.0
2014-07-11,W/Urban,0.0
2014-07-11,Port Loko,0.0
2014-07-11,Kenema,3.0
2014-07-11,Bonthe,0.0
2014-07-11,Kono,0.0
2014-07-11,Kailahun,7.0
2014-07-11,Bombali,0.0
2014-07-12,Tonkolili,0.0
2014-07-12,Kambia,1.0
2014-07-12,Kono,0.0
2014-07-12,Port Loko,1.0
